Título,SKU,Precio Original,Precio Descuento,Precio Envío,Stock
"Procesador Intel Core i5-11400F, S-1200, 2.60GHz, Six-Core, 12MB Smart Cache (11va Generación - Rocket Lake)",BX8070811400F,"$2,688.00","$2,249.00",$99.00,1193
"Logitech Audífonos Gamer G335 para PC/Xbox/PS4/Nintendo Switch, Alámbrico, 3.5mm, Negro",981-000977,"$1,365.00",$969.00,$99.00,8
"Tablet Lenovo Tab M7 Gen3 7"", 32GB, Android 11, Gris",ZA8C0009MX,"$2,832.00","$1,609.00",$99.00,195
"Gabinete NZXT H510 Elite con Ventana RGB, Midi-Tower, ATX/E-ATX/Micro ATX/Mini-ATX, USB 3.0, sin Fuente, 4 Venitiladores Instalados, Blanco",CA-H510E-W1,"$3,252.00","$2,579.00",$159.00,3
"Fuente de Poder EVGA 700-K1 80 PLUS Bronze, ATX, 120mm, 700W",100-BR-0700-K1,"$1,880.00","$1,499.00",$99.00,90
"Procesador AMD Ryzen 5 3600, S-AM4, 3.60GHz, 32MB L3 Cache, con Disipador Wraith Stealth",100-100000031BOX,"$2,301.00","$1,879.00",$99.00,85
"Teclado Microsoft Designer Compact, Inalámbrico, Bluetooth, Negro (Español)",21Y-00061,"$1,146.00",$809.00,$99.00,9
"Disco Duro para Servidor Western Digital WD Ultrastar 4TB SATA III 7200RPM 3.5"" 6 Gbit/s",0B35950,"$4,527.00","$2,869.00",$99.00,2
"Logitech Sistema de Bocinas con Subwoofer Z906, 5.1, 500W RMS, Negro",980-000474,"$7,677.00","$6,239.00",$209.00,115
"Procesador AMD Ryzen 7 5800X3D, S-AM4, 3.40GHz, 8-Core, 96MB L3 Cache - no incluye Disipador",100-100000651WOF,"$7,217.00","$5,999.00",$99.00,18
"SSD Western Digital WD_Black SN770 NVMe, 500GB, PCI Express 4.0, M.2",WDS500G3X0E,$799.00,$669.00,$99.00,55
"SSD HP S650, 960GB, SATA III, 2.5""",345N0AA,$808.00,$619.00,$99.00,95
"Monitor Acteck 933858 LED 21.5"", Full HD, 75Hz, HDMI, Negro",AC-933858,"$1,730.00","$1,549.00",$144.00,115
"Logitech Teclado Gamer G Pro RGB, Mecánico, Switch GX Blue, Alámbrico, Negro (Inglés)",920-009388,"$2,292.00","$1,899.00",$99.00,¡1
"Procesador AMD Ryzen 9 5950X, S-AM4, 3.40GHz, 8MB L3 Cache - no incluye Disipador",100-100000059WOF,"$9,006.00","$7,689.00",$99.00,4
"Kit Gamer 3 en 1 Corsair Teclado K60 RGB Pro + Mouse Harpoon RGB Pro + Mousepad MM300, Alámbrico, USB, Negro (Inglés)",CH-910D519-SP,"$2,024.00","$1,449.00",$99.00,23
"Logitech Bocina Z625 con Subwoofer, Alámbrico, 2.1, 70W RMS, Entrada Óptica, Negro",980-001258,"$4,735.00","$3,729.00",$144.00,11
"Teclado Logitech Pop Keys, Teclado Mecánico, Inalámbrico, Menta/Violeta/Blanco/Amarillo (Español)",920-010714,"$1,850.00","$1,399.00",$99.00,2
"Teclado Logitech Touch K400 Plus, Inalámbrico, USB, Negro (Español)",920-007123,$849.00,$649.00,$99.00,176
"Mouse Gamer Primus Óptico GLADIUS8200T, Alámbrico, USB, 8200DPI, Negro",PMO-102,$640.00,$276.00,$99.00,7
"Astro Gaming Audífonos Gamer A10 para PS4/PS5/Xbox/PC/Mac, Alámbrico, 3.5mm, Negro/Azul",939-001594,"$1,032.00",$869.00,$99.00,75
"Tarjeta de Video Gigabyte AMD Radeon RX 6600 Eagle 8G, 8GB 128-bit GDDR6, PCI Express x8 4.0 ― ¡Compra y llévate de regalo Starfield!",GV-R66EAGLE-8GD,"$5,042.00","$4,469.00",$99.00,157
"Tóner Brother TN-310BK Negro, 2500 Páginas ― ¡Envio gratis limitado a 5 productos por cliente!",TN-310BK,"$1,779.00","$1,089.00",Envío gratis,107
"HP Docking Station 5TW10AA USB-C, 4x USB 3.0, 1x USB-C, 1x HDMI/2x DisplayPort/1x RJ-45, Negro",5TW10AA,"$3,904.00","$2,669.00",$99.00,27
"Tarjeta Madre Gigabyte AORUS X507S Master, S-AM4, AMD X507, USB 3.2, 128GB DDR4 para AMD ― Requiere Actualización de BIOS para la Serie Ryzen 5000",X570S AORUS MASTER,"$7,991.00","$6,399.00",$99.00,7
"Gabinete Yeyian Hollow 2500 con Ventana RGB, Midi-Tower, ATX/EATX/ITX/Micro ATX, USB 3.0, sin Fuente, sin Ventiladores Instalados, Negro/Blanco",YGH-49704,"$1,038.00",$869.00,$144.00,80
"Disco Duro para Laptop Toshiba L200 2.5'', 1TB, SATA III, 6Gbit/s, 5400RPM, 128MB Cache",HDWL110UZSVA,$799.00,$649.00,$99.00,38
"Teclado Logitech MX Mechanical Mini TKL, Inalámbrico, Bluetooth, Grafito (Español)",920-010846,"$3,015.00","$2,679.00",$99.00,2
"Teclado Gamer Ocelot Gaming Candy Blue 60 RGB, Teclado Mecánico, Switch Blue, Alámbrico, Azul/Morado (Inglés)",CANDY BLUE 60-OC,$725.00,$559.00,$99.00,267
"Procesador Intel Core i5-13600K, S-1700, 3.50GHz, 14-Core, 24MB Smart Cache (13va. Generación - Raptor Lake)",BX8071513600K,"$6,578.00","$5,929.00",$99.00,31
"DSC Gabinete para Panel de Control GMX003, Beige, para  PC1832/HS2032/HS2128",GMX-003,$567.00,$384.00,$99.00,1107
"SSD PNY CS1031 NVMe, 500GB, PCI Express 3.0, M.2",M280CS1031-500-CL,$538.00,$419.00,$99.00,3
"Multifuncional Brother DCP-T520W InkBenefit Tank, Color, Inyección, Tanque de Tinta, Inalámbrico, Print/Scan/Copy",DCP-T520W,"$4,118.00","$3,219.00",$154.00,895
"Disco Duro Interno Toshiba L200 2.5"", 2TB, SATAIII, 6 Gbit/s, 5400RPM, 128MB Caché",HDWL120UZSVA,"$1,269.00","$1,049.00",$99.00,18
"Tarjeta de Video ASUS NVIDIA TUF GeForce GTX 1660 SUPER Gaming OC, 6GB 192-bit GDDR6, PCI Express x16 3.0",90YV0DT2-MVAA00,"$5,461.00","$4,509.00",$99.00,9
